line_number,keep,technique,angle,technique_key,angle_key,record_reference_key,target_technique_key,url,title,segment_start_s,segment_end_s,command
62,yes,jab,front_do_proper_benny_urquidez_kzzzcy,jab,front_do_proper_benny_urquidez_kzzzcy,jab__front_do_proper_benny_urquidez_kzzzcy,jab,https://www.youtube.com/watch?v=kzzZcyUFyfk,How to do a proper jab by Benny Urquidez,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=kzzZcyUFyfk"" --record-reference ""jab__front_do_proper_benny_urquidez_kzzzcy"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
63,yes,jab,front_genius_way_punish_fnj58s,jab,front_genius_way_punish_fnj58s,jab__front_genius_way_punish_fnj58s,jab,https://www.youtube.com/watch?v=FnJ58s38h6E,Genius way to Punish the Jab 🥊🧠 #boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=FnJ58s38h6E"" --record-reference ""jab__front_genius_way_punish_fnj58s"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
64,yes,jab,front_throw_punch_56hgbu,jab,front_throw_punch_56hgbu,jab__front_throw_punch_56hgbu,jab,https://www.youtube.com/watch?v=56HGBUTicnA,How to Throw the Perfect Punch #shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=56HGBUTicnA"" --record-reference ""jab__front_throw_punch_56hgbu"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
66,yes,jab,lead_side_land_hook_body_f0yrkl,jab,lead_side_land_hook_body_f0yrkl,jab__lead_side_land_hook_body_f0yrkl,jab,https://www.youtube.com/watch?v=F0YRKLbfU9o,How to Land Hook to the Body  #shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=F0YRKLbfU9o"" --record-reference ""jab__lead_side_land_hook_body_f0yrkl"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
67,yes,jab,front_cross_hook_uppercut_basics_og_a6k,jab,front_cross_hook_uppercut_basics_og_a6k,jab__front_cross_hook_uppercut_basics_og_a6k,jab,https://www.youtube.com/watch?v=Og_a6KtYB9s,Jab Cross Hook Uppercut 💥 Boxing Basics At Home Training | Fitness Shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=Og_a6KtYB9s"" --record-reference ""jab__front_cross_hook_uppercut_basics_og_a6k"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
68,yes,jab,front_throw_punch_ilv4_h,jab,front_throw_punch_ilv4_h,jab__front_throw_punch_ilv4_h,jab,https://www.youtube.com/watch?v=ilV4-hQaSZ0,How to Throw a Punch,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=ilV4-hQaSZ0"" --record-reference ""jab__front_throw_punch_ilv4_h"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
72,yes,jab,front_throw_tebtax,jab,front_throw_tebtax,jab__front_throw_tebtax,jab,https://www.youtube.com/watch?v=teBtAxi18GM,How to throw your jab,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=teBtAxi18GM"" --record-reference ""jab__front_throw_tebtax"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
73,yes,jab,lead_side_must_do_footwork_drills_lk_opl,jab,lead_side_must_do_footwork_drills_lk_opl,jab__lead_side_must_do_footwork_drills_lk_opl,jab,https://www.youtube.com/watch?v=Lk_opl4QkLU,Boxing Must Do Footwork Drills,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=Lk_opl4QkLU"" --record-reference ""jab__lead_side_must_do_footwork_drills_lk_opl"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
74,yes,jab,lead_side_effective_footwork_drills_zfthjt,jab,lead_side_effective_footwork_drills_zfthjt,jab__lead_side_effective_footwork_drills_zfthjt,jab,https://www.youtube.com/watch?v=ZFthjTMzOCo,Effective Boxing Footwork Drills,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=ZFthjTMzOCo"" --record-reference ""jab__lead_side_effective_footwork_drills_zfthjt"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
75,yes,jab,lead_side_5_beginner_footwork_drills_1jhvnz,jab,lead_side_5_beginner_footwork_drills_1jhvnz,jab__lead_side_5_beginner_footwork_drills_1jhvnz,jab,https://www.youtube.com/watch?v=1JHVNzLkbUg,5 Beginner Boxing Footwork Drills To Master,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=1JHVNzLkbUg"" --record-reference ""jab__lead_side_5_beginner_footwork_drills_1jhvnz"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
78,yes,jab,lead_side_improve_kicking_balance_power__pnql2,jab,lead_side_improve_kicking_balance_power__pnql2,jab__lead_side_improve_kicking_balance_power__pnql2,jab,https://www.youtube.com/watch?v=-PnqL2fkdzc,Improve Your Kicking Balance and Power With THIS Simple Drill,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=-PnqL2fkdzc"" --record-reference ""jab__lead_side_improve_kicking_balance_power__pnql2"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
79,yes,jab,lead_side_footwork_pivot_boxingtraining_boxingdrills_d_e0cd,jab,lead_side_footwork_pivot_boxingtraining_boxingdrills_d_e0cd,jab__lead_side_footwork_pivot_boxingtraining_boxingdrills_d_e0cd,jab,https://www.youtube.com/watch?v=D-E0cdLXFXI,Boxing Footwork: How to Pivot #boxing #boxingtraining #boxingdrills,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=D-E0cdLXFXI"" --record-reference ""jab__lead_side_footwork_pivot_boxingtraining_boxingdrills_d_e0cd"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
80,yes,jab,front_learn_throw_lightning_fast_92vheo,jab,front_learn_throw_lightning_fast_92vheo,jab__front_learn_throw_lightning_fast_92vheo,jab,https://www.youtube.com/watch?v=92Vheo6blkk,Learn How To Throw A Lightning Fast Jab ⚡️#shorts #boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=92Vheo6blkk"" --record-reference ""jab__front_learn_throw_lightning_fast_92vheo"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
81,yes,jab,front_floyd_mayweather_control_tr0d4d,jab,front_floyd_mayweather_control_tr0d4d,jab__front_floyd_mayweather_control_tr0d4d,jab,https://www.youtube.com/watch?v=Tr0D4DTMuIM,Floyd Mayweather Jab Control,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=Tr0D4DTMuIM"" --record-reference ""jab__front_floyd_mayweather_control_tr0d4d"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
83,yes,jab,front_learn_flicker_viral_learntobox_ld_erg,jab,front_learn_flicker_viral_learntobox_ld_erg,jab__front_learn_flicker_viral_learntobox_ld_erg,jab,https://www.youtube.com/watch?v=lD-eRgslvo0,Learn the FLICKER JAB 🫡🥊 #boxing #viral #learntobox #boxingtraining #shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=lD-eRgslvo0"" --record-reference ""jab__front_learn_flicker_viral_learntobox_ld_erg"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
84,yes,jab,front_throw_explained_viralvideo_fight_6f09_6,jab,front_throw_explained_viralvideo_fight_6f09_6,jab__front_throw_explained_viralvideo_fight_6f09_6,jab,https://www.youtube.com/watch?v=6F09-6sKQHQ,How to Throw the Perfect Jab in Boxing | Jab Technique Explained. #boxing #viralvideo #fight #fyp,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=6F09-6sKQHQ"" --record-reference ""jab__front_throw_explained_viralvideo_fight_6f09_6"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
85,yes,jab,front_michael_jai_white_punching_9r7wwh,jab,front_michael_jai_white_punching_9r7wwh,jab__front_michael_jai_white_punching_9r7wwh,jab,https://www.youtube.com/watch?v=9R7wWh6GF24,Michael Jai White: Punching Correctly,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=9R7wWh6GF24"" --record-reference ""jab__front_michael_jai_white_punching_9r7wwh"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
87,yes,jab,front_gazelle_punch_8djqi6,jab,front_gazelle_punch_8djqi6,jab__front_gazelle_punch_8djqi6,jab,https://www.youtube.com/watch?v=8djqI6kNH3I,Gazelle punch tutorial,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=8djqI6kNH3I"" --record-reference ""jab__front_gazelle_punch_8djqi6"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
89,yes,jab,front_slip_punches_like_pro_3lawj1,jab,front_slip_punches_like_pro_3lawj1,jab__front_slip_punches_like_pro_3lawj1,jab,https://www.youtube.com/watch?v=3lawJ1dO0Mk,How to Slip Punches like a PRO Boxer #shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=3lawJ1dO0Mk"" --record-reference ""jab__front_slip_punches_like_pro_3lawj1"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
90,yes,jab,lead_side_follow_these_3_steps_h1iyn7,jab,lead_side_follow_these_3_steps_h1iyn7,jab__lead_side_follow_these_3_steps_h1iyn7,jab,https://www.youtube.com/watch?v=h1iYn7NVFfw,Follow These 3 Steps For A Deadly Left Hook 🥊,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=h1iYn7NVFfw"" --record-reference ""jab__lead_side_follow_these_3_steps_h1iyn7"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
91,yes,jab,front_basic_combination_drills_boxingtips_nw366x,jab,front_basic_combination_drills_boxingtips_nw366x,jab__front_basic_combination_drills_boxingtips_nw366x,jab,https://www.youtube.com/watch?v=nw366XHB1Zk,Basic Boxing Combination Drills #boxing #boxingtips,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=nw366XHB1Zk"" --record-reference ""jab__front_basic_combination_drills_boxingtips_nw366x"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
93,yes,jab,front_throw_71nmi6,jab,front_throw_71nmi6,jab__front_throw_71nmi6,jab,https://www.youtube.com/watch?v=71nmi6nGcrY,How to Throw the Perfect Jab in Boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=71nmi6nGcrY"" --record-reference ""jab__front_throw_71nmi6"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
94,yes,jab,front_throw_2_power_punches_qwrrwu,jab,front_throw_2_power_punches_qwrrwu,jab__front_throw_2_power_punches_qwrrwu,jab,https://www.youtube.com/watch?v=qWRrWUrcUA4,How to Throw 2 Perfect POWER Punches in Boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=qWRrWUrcUA4"" --record-reference ""jab__front_throw_2_power_punches_qwrrwu"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
95,yes,jab,front_6_variation_t4r4fp,jab,front_6_variation_t4r4fp,jab__front_6_variation_t4r4fp,jab,https://www.youtube.com/watch?v=t4r4FPY-Zcg,6 Jab Variation 🥊🔥,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=t4r4FPY-Zcg"" --record-reference ""jab__front_6_variation_t4r4fp"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
97,yes,jab,front_punch_right_cross_boxingtraining__hy2ql,jab,front_punch_right_cross_boxingtraining__hy2ql,jab__front_punch_right_cross_boxingtraining__hy2ql,jab,https://www.youtube.com/watch?v=-hy2QLE567o,How to punch - the right CROSS #boxing #boxingtraining,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=-hy2QLE567o"" --record-reference ""jab__front_punch_right_cross_boxingtraining__hy2ql"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
98,yes,jab,front_throw_cross_dazn_ufc_dwyzo2,jab,front_throw_cross_dazn_ufc_dwyzo2,jab__front_throw_cross_dazn_ufc_dwyzo2,jab,https://www.youtube.com/watch?v=DWYzO2NJmCQ,How to throw a cross #shorts #boxing #dazn #ufc,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=DWYzO2NJmCQ"" --record-reference ""jab__front_throw_cross_dazn_ufc_dwyzo2"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
99,yes,jab,front_master_cross_hook_nes7wd,jab,front_master_cross_hook_nes7wd,jab__front_master_cross_hook_nes7wd,jab,https://www.youtube.com/watch?v=neS7wdvid6E,MASTER The Jab-Cross-Hook,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=neS7wdvid6E"" --record-reference ""jab__front_master_cross_hook_nes7wd"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
100,yes,jab,lead_side_tips_footwork_drills_create_ki_0ww,jab,lead_side_tips_footwork_drills_create_ki_0ww,jab__lead_side_tips_footwork_drills_create_ki_0ww,jab,https://www.youtube.com/watch?v=ki-0wwH5GzQ,Boxing Tips: Footwork Drills To Create Angles,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=ki-0wwH5GzQ"" --record-reference ""jab__lead_side_tips_footwork_drills_create_ki_0ww"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
101,yes,jab,lead_side_learn_basic_stance_essential__r1cg7,jab,lead_side_learn_basic_stance_essential__r1cg7,jab__lead_side_learn_basic_stance_essential__r1cg7,jab,https://www.youtube.com/watch?v=_r1Cg7A7tVo,Learn the Basic Boxing Stance: Essential Tips and Techniques,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=_r1Cg7A7tVo"" --record-reference ""jab__lead_side_learn_basic_stance_essential__r1cg7"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
102,yes,jab,front_boxings_most_dangerous_punch_q5xc2u,jab,front_boxings_most_dangerous_punch_q5xc2u,jab__front_boxings_most_dangerous_punch_q5xc2u,jab,https://www.youtube.com/watch?v=q5Xc2Uj4uJ4,Boxings Most Dangerous Punch - The Ghost Jab,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=q5Xc2Uj4uJ4"" --record-reference ""jab__front_boxings_most_dangerous_punch_q5xc2u"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
103,yes,jab,front_punch_properly_ltrlpi,jab,front_punch_properly_ltrlpi,jab__front_punch_properly_ltrlpi,jab,https://www.youtube.com/watch?v=LtRlpieK03E,How to punch properly,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=LtRlpieK03E"" --record-reference ""jab__front_punch_properly_ltrlpi"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
104,yes,jab,front_what_s_correct_way_n1ppat,jab,front_what_s_correct_way_n1ppat,jab__front_what_s_correct_way_n1ppat,jab,https://www.youtube.com/watch?v=n1PPAT9hoqw,What’s the correct way to punch?,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=n1PPAT9hoqw"" --record-reference ""jab__front_what_s_correct_way_n1ppat"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
106,yes,jab,front_throw_boxingtraining_mpo95c,jab,front_throw_boxingtraining_mpo95c,jab__front_throw_boxingtraining_mpo95c,jab,https://www.youtube.com/watch?v=mpO95ca9qig,How to throw a perfect jab! #boxing #boxingtraining #shorts ￼,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=mpO95ca9qig"" --record-reference ""jab__front_throw_boxingtraining_mpo95c"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
107,yes,jab,front_master_3_essential_techniques_rkkven,jab,front_master_3_essential_techniques_rkkven,jab__front_master_3_essential_techniques_rkkven,jab,https://www.youtube.com/watch?v=rkKVeNSMQKM,Master the Jab: 3 ESSENTIAL Techniques,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=rkKVeNSMQKM"" --record-reference ""jab__front_master_3_essential_techniques_rkkven"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
